Symbol,Series,Date,Prev Close,Adj_Open,Adj_High,Adj_Low,Last Price,Adj_Close,Average Price,Total Traded Quantity,Turnover,Adj_Volume
RELIANCE,EQ,04-Dec-19,1578.9,1573,1577.5,1533.75,1554.5,1552.7,1551.77,9594828,14888958079,246981
RELIANCE,EQ,05-Dec-19,1552.7,1574,1579.75,1544,1551,1550.85,1561.41,9117022,14235446633,217414
RELIANCE,EQ,06-Dec-19,1550.85,1553,1568,1541.1,1554.5,1554.9,1555.3,5982129,9304004870,127437
RELIANCE,EQ,09-Dec-19,1554.9,1556.15,1577.4,1546.5,1572.95,1572.6,1565.26,5779807,9046924671,142669
RELIANCE,EQ,10-Dec-19,1572.6,1572.05,1573.6,1554.15,1564.9,1561.95,1561.68,4650906,7263249188,135279
RELIANCE,EQ,11-Dec-19,1561.95,1555.6,1574.5,1550.6,1561,1562.4,1560.15,5652698,8819046878,159685
RELIANCE,EQ,12-Dec-19,1562.4,1570.25,1573.85,1556.65,1571.1,1568.2,1564.76,4720977,7387206060,134048
RELIANCE,EQ,13-Dec-19,1568.2,1580,1590,1572.4,1584.05,1582.9,1580.61,5791522,9154160089,138857
RELIANCE,EQ,16-Dec-19,1582.9,1592,1593.9,1564.35,1571,1566.6,1575.62,5436951,8566568694,143743
RELIANCE,EQ,17-Dec-19,1566.6,1566.75,1579,1555.55,1567,1562.7,1564.71,9291724,14538834628,188391
RELIANCE,EQ,18-Dec-19,1562.7,1563,1580,1562,1577.15,1575.85,1569.63,6739582,10578662434,220134
RELIANCE,EQ,19-Dec-19,1575.85,1573.7,1614.9,1571.8,1613,1609.95,1595.68,9375484,14960269699,194045
RELIANCE,EQ,20-Dec-19,1609.95,1615,1617.55,1596.1,1600,1599.1,1604.6,9724619,15604131779,164538
RELIANCE,EQ,23-Dec-19,1599.1,1560.1,1577.55,1557.8,1570.95,1571.4,1567.33,11478429,17990493040,259306
RELIANCE,EQ,24-Dec-19,1571.4,1568.9,1572.05,1542.5,1544.5,1546.45,1555.42,8251144,12833955163,194127
RELIANCE,EQ,26-Dec-19,1546.45,1541.65,1552.95,1510.15,1515.8,1515.4,1527.47,13605737,20782349005,208335
RELIANCE,EQ,27-Dec-19,1515.4,1527,1546.2,1521.3,1542,1542.35,1533.58,8081591,12393781505,160454
RELIANCE,EQ,30-Dec-19,1542.35,1545.95,1547.65,1528.05,1546.25,1544.2,1538.15,7828402,12041287379,141979
RELIANCE,EQ,31-Dec-19,1544.2,1542,1543.7,1508.05,1516,1514.05,1525.14,10150467,15480924274,220938
RELIANCE,EQ,01-Jan-20,1514.05,1518,1527.1,1505.5,1511.8,1509.6,1515.23,6402372,9701063103,122265
RELIANCE,EQ,02-Jan-20,1509.6,1512,1540.95,1512,1534.1,1535.3,1530.86,8096561,12394709676,151727
RELIANCE,EQ,03-Jan-20,1535.3,1533,1541.65,1523,1536,1537.15,1532.73,9593498,14704283072,149003
RELIANCE,EQ,06-Jan-20,1537.15,1520,1527.9,1498,1499.9,1501.5,1512.57,11209343,16954936800,225138
RELIANCE,EQ,07-Jan-20,1501.5,1519,1534.5,1513.5,1526.95,1524.6,1523.12,7627191,11617096335,180713
RELIANCE,EQ,08-Jan-20,1524.6,1515,1534.45,1510,1514,1513.15,1518.24,7336561,11138643618,169662
RELIANCE,EQ,09-Jan-20,1513.15,1538.6,1550,1531.25,1549.5,1548,1541.76,6849606,10560431963,154953
RELIANCE,EQ,10-Jan-20,1548,1551.9,1557.95,1539.65,1546.85,1547.65,1549.42,5704686,8838954165,136340
RELIANCE,EQ,13-Jan-20,1547.65,1545.05,1558.7,1538.4,1539.85,1543.7,1548.94,8358090,12946146807,143022
RELIANCE,EQ,14-Jan-20,1543.7,1540,1550,1521.85,1529.1,1529.4,1533.76,7230788,11090262628,173502
RELIANCE,EQ,15-Jan-20,1529.4,1535.85,1539.9,1518.25,1524.1,1523.85,1526.75,7231393,11040550715,212172
RELIANCE,EQ,16-Jan-20,1523.85,1529,1543.35,1528,1538.7,1537.9,1535.41,5873662,9018508367,164724
RELIANCE,EQ,17-Jan-20,1537.9,1553.5,1584.95,1553.2,1581,1581,1573,13469708,21187907268,279304
RELIANCE,EQ,20-Jan-20,1581,1609,1609,1526.4,1532.2,1532.35,1557.85,14878868,23179100842,338270
RELIANCE,EQ,21-Jan-20,1532.35,1528.6,1545.85,1522,1535,1533.9,1535.68,8650831,13284891871,233395
RELIANCE,EQ,22-Jan-20,1533.9,1544,1546.75,1531.1,1535.25,1533.35,1538.16,4719245,7258954216,143828
RELIANCE,EQ,23-Jan-20,1533.35,1536.5,1541.95,1520.7,1529.6,1526.85,1528.79,5142088,7861187151,149239
RELIANCE,EQ,24-Jan-20,1526.85,1527,1536.35,1518.55,1524.05,1521.55,1525.74,6687633,10203594713,152146
RELIANCE,EQ,27-Jan-20,1521.55,1514.9,1524.45,1505,1508,1506.55,1513.43,6120429,9262815086,130826
RELIANCE,EQ,28-Jan-20,1506.55,1508.6,1510,1463.6,1473.5,1471.75,1485.82,11215313,16663988524,271852
RELIANCE,EQ,29-Jan-20,1471.75,1474.05,1494.4,1464.05,1480,1479.85,1479.34,11313297,16736172828,254760
RELIANCE,EQ,30-Jan-20,1479.85,1479,1479.7,1440,1443,1443.75,1452.4,10241756,14875116667,231136
RELIANCE,EQ,31-Jan-20,1443.75,1453,1453.25,1407.2,1410,1411.65,1425.75,15886673,22650374557,330774
RELIANCE,EQ,01-Feb-20,1411.65,1405.3,1426.95,1371.1,1372,1383.35,1402.89,11022901,15463889562,243212
RELIANCE,EQ,03-Feb-20,1383.35,1369.9,1399.95,1363.05,1386,1385.5,1380.77,14040626,19386892661,370104
RELIANCE,EQ,04-Feb-20,1385.5,1400,1432.5,1397.8,1427.5,1426.4,1419.31,11604666,16470598997,286666
RELIANCE,EQ,05-Feb-20,1426.4,1434.9,1452.8,1430.3,1446.3,1448.5,1442.46,8444823,12181350644,242039
RELIANCE,EQ,06-Feb-20,1448.5,1454.1,1467,1440.1,1455,1457.8,1452.93,7103715,10321203996,163247
RELIANCE,EQ,07-Feb-20,1457.8,1451,1452.35,1428.3,1432,1433.65,1437.06,5581641,8021138869,134128
RELIANCE,EQ,10-Feb-20,1433.65,1428,1445.5,1410.45,1442.2,1435.6,1424.41,6922631,9860658649,143055
RELIANCE,EQ,11-Feb-20,1435.6,1447.4,1466.2,1445.05,1454.5,1452.75,1457.22,6400245,9326549622,224142
RELIANCE,EQ,12-Feb-20,1452.75,1456.15,1474.85,1455,1473.15,1470.3,1465.86,6187091,9069380788,192511
RELIANCE,EQ,13-Feb-20,1470.3,1477.75,1477.75,1462.6,1470.45,1474.15,1470.71,6201763,9120966120,116464
RELIANCE,EQ,14-Feb-20,1474.15,1477.25,1501.45,1453.1,1485.85,1487.6,1483.41,9704655,14395961760,229509
RELIANCE,EQ,17-Feb-20,1487.6,1489,1506.15,1474.3,1478.5,1478.25,1487.62,6011340,8942610639,150631
RELIANCE,EQ,18-Feb-20,1478.25,1475.9,1475.9,1457.4,1466.9,1467.4,1465.63,5086964,7455603061,142911
RELIANCE,EQ,19-Feb-20,1467.4,1479.35,1506.45,1475.1,1504.5,1503.8,1497.34,6438918,9641269217,249278
RELIANCE,EQ,20-Feb-20,1503.8,1497,1508,1483.8,1487,1485.95,1495.83,7722577,11551669677,176470
RELIANCE,EQ,24-Feb-20,1485.95,1469.75,1477,1439.55,1447.1,1444.95,1462.78,9769743,14291004524,237165
RELIANCE,EQ,25-Feb-20,1444.95,1451.4,1451.4,1410,1420,1416.4,1432.47,12684109,18169572259,281387
RELIANCE,EQ,26-Feb-20,1416.4,1410,1412.35,1387.35,1389.5,1392,1399.83,13423661,18790808836,268512
RELIANCE,EQ,27-Feb-20,1392,1388,1393.8,1369,1380.45,1386.25,1381.33,11454300,15822175752,240043
RELIANCE,EQ,28-Feb-20,1386.25,1354.9,1357,1325,1327,1328.65,1338.96,17973847,24066201012,373466
RELIANCE,EQ,02-Mar-20,1328.65,1355.1,1369,1301.1,1322,1316.15,1343.4,13486634,18117990645,274282
RELIANCE,EQ,03-Mar-20,1316.15,1329.7,1353.9,1322,1346.35,1342.85,1339.28,12525809,16775518804,275521
RELIANCE,EQ,04-Mar-20,1342.85,1352,1353.8,1307.9,1349,1339.7,1331.24,10105782,13453213012,297606
RELIANCE,EQ,05-Mar-20,1339.7,1352.2,1357.95,1306,1309.9,1311.15,1327.07,13948324,18510367253,319378
RELIANCE,EQ,06-Mar-20,1311.15,1270,1288.15,1241.1,1269.85,1271,1271.62,15422068,19610974599,389652
RELIANCE,EQ,09-Mar-20,1271,1240.05,1241,1095,1104.5,1114.15,1143.56,40317808,46105953149,846382
RELIANCE,EQ,11-Mar-20,1114.15,1108,1178.45,1108,1152,1153.55,1157.92,27237627,31538987521,490124
RELIANCE,EQ,12-Mar-20,1153.55,1085,1101,1048.7,1059,1063,1076.2,25588170,27538049024,646095
RELIANCE,EQ,13-Mar-20,1063,998,1140,942.4,1116.95,1105.3,1053.35,33509757,35297404438,706395
RELIANCE,EQ,16-Mar-20,1105.3,1060.55,1079.7,1005,1012.2,1015.7,1046.83,17594729,18418745886,441083
RELIANCE,EQ,17-Mar-20,1015.7,1047.25,1060,1003.2,1011.5,1008,1034.68,20777442,21497994559,463953
RELIANCE,EQ,18-Mar-20,1008,1025.3,1035.9,961,976.45,968.5,992.19,20450497,20290776264,499736
RELIANCE,EQ,19-Mar-20,968.5,920.1,967,892.2,917.7,917.7,918.86,28072062,25794360274,636588
RELIANCE,EQ,20-Mar-20,917.7,939.5,1034.9,930,1028,1017.95,983.98,28967526,28503444362,589033
RELIANCE,EQ,23-Mar-20,1017.95,916.2,950,875.65,891,884.05,899.32,18593713,16721615106,569206
RELIANCE,EQ,24-Mar-20,884.05,930,970,895.8,946,943.4,934.85,20919322,19556500214,590891
RELIANCE,EQ,25-Mar-20,943.4,963.8,1151.55,963.25,1074,1082.25,1053.49,33433126,35221338455,799060
RELIANCE,EQ,26-Mar-20,1082.25,1095.8,1116.9,1042.35,1069,1066.2,1074.95,20912934,22480324150,592742
RELIANCE,EQ,27-Mar-20,1066.2,1095,1107.3,1046.2,1067.95,1065.6,1070.06,19044644,20378895931,502817
RELIANCE,EQ,30-Mar-20,1065.6,1040.6,1074.8,1020,1031.5,1030.45,1044.14,13820286,14430304003,386770
RELIANCE,EQ,31-Mar-20,1030.45,1073.95,1129.8,1048,1100,1113.75,1093.37,20249909,22140676569,506536
RELIANCE,EQ,01-Apr-20,1113.75,1122.25,1124.6,1045.2,1084,1080.45,1072.84,19017099,20402365414,414675
RELIANCE,EQ,03-Apr-20,1080.45,1134.45,1134.45,1056.3,1088,1077.45,1077.52,18912044,20378095230,519365
RELIANCE,EQ,07-Apr-20,1077.45,1102.1,1214,1100,1211,1206.1,1161.27,24859057,28867992304,556669
RELIANCE,EQ,08-Apr-20,1206.1,1180,1229,1160,1197,1192.15,1194.6,22803774,27241443068,538577
RELIANCE,EQ,09-Apr-20,1192.15,1214,1232.8,1193,1217.75,1219.95,1214.91,15101711,18347214247,368355
RELIANCE,EQ,13-Apr-20,1219.95,1203.95,1215,1180,1192.5,1189.15,1191.64,10822871,12896993488,263593
RELIANCE,EQ,15-Apr-20,1189.15,1197.05,1236,1143,1157.5,1149.85,1191.73,16147959,19243981631,404270
RELIANCE,EQ,16-Apr-20,1149.85,1149.85,1187.45,1145,1170,1168.05,1172.19,17123533,20071955512,387003
RELIANCE,EQ,17-Apr-20,1168.05,1216,1230,1192.65,1229.9,1224,1208.12,15209707,18375116205,322391
RELIANCE,EQ,20-Apr-20,1224,1226,1257,1202,1248.1,1243.8,1228.75,16472339,20240404168,365965
RELIANCE,EQ,21-Apr-20,1243.8,1210,1252,1164,1251.5,1237.35,1204.07,28057706,33783478000,573205
RELIANCE,EQ,22-Apr-20,1237.35,1320,1384.9,1300,1359,1363.6,1341.48,65230894,87505942711,1194059
RELIANCE,EQ,23-Apr-20,1363.6,1367.35,1385.85,1353.3,1370.15,1370.9,1369.1,29928331,40974916121,612506
RELIANCE,EQ,24-Apr-20,1370.9,1350.15,1494.95,1347.2,1425.8,1417,1431.67,61711388,88350296136,1154959
RELIANCE,EQ,27-Apr-20,1417,1434,1475,1423,1431,1429.75,1448.31,26736512,38722699505,594518
RELIANCE,EQ,28-Apr-20,1429.75,1450,1455.45,1392.15,1430,1428.15,1421.22,35866381,50974111341,746066
RELIANCE,EQ,29-Apr-20,1428.15,1444.9,1453.65,1420,1427,1426.95,1436.42,17141540,24622404116,389293
RELIANCE,EQ,30-Apr-20,1426.95,1453.95,1494.95,1438.05,1464,1466,1467.88,32617901,47879255960,663204
RELIANCE,EQ,04-May-20,1466,1440,1465,1417.45,1435,1435.2,1442.94,24439240,35264364751,544309
RELIANCE,EQ,05-May-20,1435.2,1453.7,1479,1447.2,1462.65,1460.65,1464.23,20528706,30058697949,412545
RELIANCE,EQ,06-May-20,1460.65,1464,1484.95,1445.5,1461.5,1460.75,1468.54,18510304,27183196663,425042
RELIANCE,EQ,07-May-20,1460.75,1455,1513.65,1445,1512,1506.95,1484.86,22871529,33961065997,465254
RELIANCE,EQ,08-May-20,1506.95,1545,1579.9,1537.1,1559.45,1561.8,1560.62,38522385,60118628771,727915
RELIANCE,EQ,11-May-20,1561.8,1580,1615,1572.3,1575,1576.8,1592.89,30670404,48854566348,576001
RELIANCE,EQ,12-May-20,1576.8,1564.8,1568.35,1465,1486.45,1479.25,1511.39,46029119,69568011663,807575
RELIANCE,EQ,13-May-20,1479.25,1527,1527,1454,1492.5,1496.45,1481.1,30658051,45407632804,615366
RELIANCE,EQ,14-May-20,1496.45,1469,1496.7,1430.05,1437,1435.95,1457.61,22736714,33141191470,494402
RELIANCE,EQ,15-May-20,1435.95,1444,1466.7,1415.1,1453.2,1459.4,1439.85,28683432,41299828010,592403
RELIANCE,EQ,18-May-20,1459.4,1470,1482,1428,1442.55,1440.75,1452.86,28981620,42106270200,575336
RELIANCE,EQ,19-May-20,1440.75,1457,1461.7,1403.25,1409.1,1408.9,1436.68,19529216,28057214575,424987
RELIANCE,EQ,20-May-20,1408.9,1410,1446.85,1393,1437.4,1433.7,1426.52,25530692,36419940582,446373
RELIANCE,EQ,21-May-20,1433.7,1435,1461.45,1425,1440,1441.25,1443.94,18077196,26102458753,353235
RELIANCE,EQ,22-May-20,1441.25,1451.8,1458,1426.5,1433,1431.55,1442.31,17458503,25180593225,388907
RELIANCE,EQ,26-May-20,1431.55,1448.15,1449.7,1416.3,1426,1424.05,1428.7,15330793,21903166112,341795
RELIANCE,EQ,27-May-20,1424.05,1431,1454,1412,1449.85,1445.55,1430.2,16460764,23542230514,348477
RELIANCE,EQ,28-May-20,1445.55,1455,1479.75,1449,1471.05,1472.25,1467.5,18519252,27176980636,405603
RELIANCE,EQ,29-May-20,1472.25,1468,1472,1452.65,1470,1464.4,1462.79,18471770,27020285851,300018
RELIANCE,EQ,01-Jun-20,1464.4,1480,1538.35,1475.95,1521.9,1520.35,1512.99,18434065,27890475620,354436
RELIANCE,EQ,02-Jun-20,1520.35,1526,1540,1520.8,1537.95,1535.7,1531.68,10224102,15660044884,224472
RELIANCE,EQ,03-Jun-20,1535.7,1545,1560,1533.35,1543,1541.65,1543.74,11713666,18082824556,227825
RELIANCE,EQ,04-Jun-20,1541.65,1544,1589.5,1541,1576,1579.8,1570.24,15784612,24785560881,356122
RELIANCE,EQ,05-Jun-20,1579.8,1595,1618,1573.7,1579.2,1581.7,1596.41,15270435,24377905392,339237
RELIANCE,EQ,08-Jun-20,1581.7,1618.4,1618.4,1565,1571.8,1569.5,1588.27,14498055,23026897487,322987
RELIANCE,EQ,09-Jun-20,1569.5,1560.3,1583,1533,1535.9,1537.15,1555.91,11934073,18568335407,307011
RELIANCE,EQ,10-Jun-20,1537.15,1543.1,1579.55,1540.05,1575,1572.15,1556.73,10214426,15901058051,262174
RELIANCE,EQ,11-Jun-20,1572.15,1566,1567.95,1531,1538.8,1537.7,1546.33,9408283,14548302925,269490
RELIANCE,EQ,12-Jun-20,1537.7,1500,1593,1497,1588.7,1588.8,1552.68,17790565,27623018098,337575
RELIANCE,EQ,15-Jun-20,1588.8,1565,1626.95,1561.1,1612.3,1614.55,1593.39,24509162,39052737199,467105
RELIANCE,EQ,16-Jun-20,1614.55,1643,1648.55,1585.3,1614.05,1617.7,1617.17,23623299,38202982643,424919
RELIANCE,EQ,17-Jun-20,1617.7,1608.25,1635.45,1602.1,1611.85,1615.35,1618.64,19282519,31211518938,299203
RELIANCE,EQ,18-Jun-20,1615.35,1607,1665,1605.6,1662.9,1655.9,1636.4,18677694,30564098283,327308
RELIANCE,EQ,19-Jun-20,1655.9,1670,1788.8,1662,1763.2,1759.4,1727.35,48828852,84344321447,752773
RELIANCE,EQ,22-Jun-20,1759.4,1773.4,1804.2,1735,1752.5,1746.15,1771.18,27781772,49206651889,613265
RELIANCE,EQ,23-Jun-20,1746.15,1750,1763.75,1716.1,1721.7,1720.9,1731.86,17521196,30344310522,400333
RELIANCE,EQ,24-Jun-20,1720.9,1735.9,1772.7,1711.7,1732.5,1727.85,1739.65,23808524,41418523475,488048
RELIANCE,EQ,25-Jun-20,1727.85,1727,1749,1713.05,1719,1717.9,1728.41,18312705,31651803893,318478
RELIANCE,EQ,26-Jun-20,1717.9,1728.8,1752,1717,1750,1741.65,1731.91,14270695,24715505751,279769
RELIANCE,EQ,29-Jun-20,1741.65,1728.05,1739.75,1715.55,1722.7,1723.15,1724.38,11825126,20391055541,225499
RELIANCE,EQ,30-Jun-20,1723.15,1737,1741,1695.55,1707.5,1704.1,1718.1,13973038,24007093966,277133
RELIANCE,EQ,01-Jul-20,1704.1,1720,1749,1708.05,1736.25,1737.6,1730.01,13136706,22726570311,256982
RELIANCE,EQ,02-Jul-20,1737.6,1743,1767.6,1735.05,1759.5,1760.35,1755.2,13286760,23320864112,262833
RELIANCE,EQ,03-Jul-20,1760.35,1779.8,1793,1768,1788,1787.9,1781.69,13584004,24202508200,254096
RELIANCE,EQ,06-Jul-20,1787.9,1805,1858,1792.1,1855,1851.8,1832.66,21698149,39765301081,442095
RELIANCE,EQ,07-Jul-20,1851.8,1860,1864.35,1806.3,1822.15,1823.45,1831.78,16240102,29748224129,386666
RELIANCE,EQ,08-Jul-20,1823.45,1824.05,1834.95,1790,1795.4,1798,1812.33,12093523,21917489259,285951
RELIANCE,EQ,09-Jul-20,1798,1809,1835,1786.25,1826.75,1824.25,1813.36,16807403,30477877600,352813
RELIANCE,EQ,10-Jul-20,1824.25,1828.5,1884.6,1824.25,1880.2,1878.05,1859.58,20195490,37555184972,455198
RELIANCE,EQ,13-Jul-20,1878.05,1903.35,1947.7,1900,1938.7,1935,1927.07,32124397,61905840823,615947
RELIANCE,EQ,14-Jul-20,1935,1934,1941.7,1887.3,1915,1917,1917.96,31073591,59597787129,569875
RELIANCE,EQ,15-Jul-20,1917,1937.95,1978.8,1798,1842.35,1844,1917.63,64458598,1.24E+11,1285533
RELIANCE,EQ,16-Jul-20,1844,1847,1869,1812.45,1842.05,1843.4,1844.01,28133993,51879421166,543130
RELIANCE,EQ,17-Jul-20,1843.4,1845,1920,1838,1916,1911.7,1876.25,22949535,43059161082,487421
RELIANCE,EQ,20-Jul-20,1911.7,1917.8,1932,1899.65,1921.95,1919.9,1916.93,16887752,32372604466,339625
RELIANCE,EQ,21-Jul-20,1919.9,1939,1977,1936.5,1973.5,1971.55,1962.43,19463498,38195689330,375090
RELIANCE,EQ,22-Jul-20,1971.55,1983,2010,1960.7,2004,2004,1993.46,27584769,54989120617,547567
RELIANCE,EQ,23-Jul-20,2004,2003.95,2079.7,1991.35,2076,2057.8,2035.95,26921058,54810058388,498584
RELIANCE,EQ,24-Jul-20,2057.8,2058,2163,2057.8,2148.4,2146.15,2128.53,55656793,1.18E+11,1078097
RELIANCE,EQ,27-Jul-20,2146.15,2178.8,2198.8,2127.9,2154.95,2156.2,2169.68,37060949,80410276312,781374
RELIANCE,EQ,28-Jul-20,2156.2,2156.2,2194,2150.65,2177,2177.7,2175.67,25435618,55339580394,528044
RELIANCE,EQ,29-Jul-20,2177.7,2177.9,2182.8,2070.45,2092,2096.65,2124.29,33536361,71241119090,738739
RELIANCE,EQ,30-Jul-20,2096.65,2099,2139.7,2072,2101.9,2108.85,2111.03,33624516,70982380956,663693
RELIANCE,EQ,31-Jul-20,2108.85,2114.5,2129,2052.8,2070,2067.1,2077.02,34593375,71851185920,748942
RELIANCE,EQ,03-Aug-20,2067.1,2051.3,2057,2003.1,2007.65,2009,2029.05,21560137,43746668081,515571
